country,capital,name,xid,kinds,wikipedia_extracts,clear_link,category,latitude,longitude
Finland,Helsinki,Kulosaaren kirkko,W42204174,"religion,churches,interesting_places,other_churches","Kulosaaren kirkko on Kulosaaren kaupunginosassa Helsingissä sijaitseva kirkkorakennus. Silloisen Kulosaaren kunnan huvilakaupunkiin rakennettu kirkko on arkkitehti Bertel Jungin suunnittelema ja valmistunut 1935. Armas Lindgrenin suunnittelema kellotorni on valmistunut 1931. Kulosaaren kirkon suunnittelu oli aloitettu jo heti kunnan perustamisen jälkeen, aluksi tyydyttiin kuitenkin vuokratiloissa toimivaan huvilakirkkoon.",https://upload.wikimedia.org/wikipedia/commons/5/5b/Helsinki_Kulosaari_church.JPG,religion,60.184628,25.010546
France,Paris,Le Petit Trianon,N2582207279,"historic_architecture,architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres,restaurants,foods,tourist_facilities,other_buildings_and_structures","Le Trianon is a theatre and concert hall in Paris. It is located at 80, boulevard de Rochechouart, in the 18th arrondissement of Paris, at the foot of the hill of Montmartre.",https://upload.wikimedia.org/wikipedia/commons/1/10/Le_trianon_facade.JPG,historic_architecture,48.882923,2.34322
France,Paris,Saint-Jean-de-Montmartre,W77807770,"religion,churches,interesting_places,catholic_churches","The Church of Saint-Jean-de-Montmartre is located at 19 Rue des Abbesses in the 18th arrondissement of Paris.Situated at the foot of Montmartre, it is notable as the first example of reinforced concrete in church construction. Built from 1894 through 1904, it was designed by architect Anatole de Baudot, a student of Viollet-le-Duc and Henri Labrouste. The brick and ceramic tile-faced structure exhibits features of Art Nouveau design while exploiting the superior structural qualities of reinforced concrete with lightness and transparency. The Art Nouveau stained glass was executed by Jac Galland according to the design of Pascal Blanchard. Interior sculpture was by Pierre Roche.",https://upload.wikimedia.org/wikipedia/commons/0/07/St_Jean_de_Montmartre.jpg,religion,48.884235,2.337943
France,Paris,Chapelle Notre-Dame de Consolation,W69332061,"religion,churches,interesting_places,catholic_churches","La chapelle Notre-Dame de Consolation est une chapelle de culte catholique située rue Jean-Goujon dans le quartier des Champs-Élysées (8e arrondissement) à Paris. Elle a récemment été confiée à la Fraternité sacerdotale Saint-Pie-X, par sa propriétaire, l'association Mémorial du Bazar de la Charité.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Chapelle_Notre-Dame-de-Consolation_Paris.jpg,religion,48.865459,2.306099
France,Paris,Le Colbert,N1625405659,"historic_architecture,architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",L'hôtel Le Colbert est un hôtel de tourisme du 5e arrondissement de Paris situé à l'angle de la rue de l'Hôtel-Colbert et la rue de la Bûcherie dont les façades sur rue et les toitures correspondantes ont été inscrites aux monuments historiques par un arrêté du 19 octobre 1957.,https://upload.wikimedia.org/wikipedia/commons/7/71/Maison_des_%C3%A9tudiants_1909_1.jpg,historic_architecture,48.851471,2.348331
Germany,Berlin,Berlin City Palace,Q170119,"palaces,architecture,historic_architecture,interesting_places,manor_houses,destroyed_objects","The Berlin Palace (German: Berliner Schloss or Stadtschloss), also known as the Berlin City Palace, is a building in the centre of Berlin, located on the Museum Island at Schlossplatz, opposite the Lustgarten park. It was a royal and imperial palace and served mostly as the main residence of the Electors of Brandenburg, the Kings of Prussia and the German Emperors. Demolished by the government of the German Democratic Republic the 1950s, the palace is currently being rebuilt, with completion expected in 2019. The reconstructed palace will be the seat of the Humboldt Forum, a museum for world culture which is a successor museum of the Ancient Prussian Art Chamber, which was also located in the Berlin Palace. The Humboldt Forum has been described as the German equivalent of the British Museum.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Berlin_Stadtschloss_um_1900.jpg,palaces,52.517502,13.402778
Germany,Berlin,Marx-Engels Forum,Q31752,"cultural,urban_environment,interesting_places,squares","Marx-Engels-Forum is a public park in the central Mitte district of Berlin, the capital of Germany. It is named for Karl Marx and Friedrich Engels, authors of The Communist Manifesto of 1848 and regarded as two of the most influential people in the socialist movement. The park was created by the authorities of the former German Democratic Republic (GDR) in 1986.",https://upload.wikimedia.org/wikipedia/commons/a/af/Lascar_Marx-Engels-Forum_%284472409972%29.jpg,cultural,52.518299,13.4042
Germany,Berlin,Berlin State Opera,W15976892,"cultural,theatres_and_entertainments,interesting_places,opera_houses","The Berlin State Opera (German: Staatsoper Unter den Linden) is a German opera company based in Berlin. Its permanent home is the Staatsoper Unter den Linden, commonly referred to as Lindenoper, in the central Mitte district, which also hosts the Staatskapelle Berlin orchestra. Originally the Hofoper (court opera) from 1742, it was named Königliches Opernhaus (Royal Opera House) in 1844, and Staatsoper Unter den Linden in 1918. From 1949 to 1990 it housed the state opera of East Germany. Since 2004, the State Opera company belongs to the Berlin Opera Foundation, like the Deutsche Oper Berlin, the Komische Oper Berlin, the Berlin State Ballet, and the Bühnenservice Berlin (Stage and Costume Design).",https://upload.wikimedia.org/wikipedia/commons/5/50/Berlin_Opera_UdL_asv2018-05.jpg,cultural,52.516705,13.394738
Germany,Berlin,Maxim Gorki Theater - Studio,N895507273,"cultural,theatres_and_entertainments,interesting_places,other_theatres","The Maxim Gorki Theatre (German: Maxim Gorki Theater) is a theatre in Berlin-Mitte named after the Soviet writer, Maxim Gorky. In 2012, the Mayor of Berlin Klaus Wowereit named Şermin Langhoff artist director of the theatre.",https://upload.wikimedia.org/wikipedia/commons/c/ca/Berlin%2C_Mitte%2C_Maxim-Gorki-Theater_02.jpg,cultural,52.518986,13.39598
Italy,Rome,Palazzo della Consulta,Q935016,"palaces,architecture,historic_architecture,interesting_places","The Palazzo della Consulta (built 1732-1735) is a late Baroque palace in central Rome, Italy, that since 1955 houses the Constitutional Court of the Italian Republic. It sits across the Piazza del Quirinale from the official residence of the President of the Italian Republic, the Quirinal Palace.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Palazzo_della_Consulta_Roma_2006.jpg,palaces,41.899197,12.486432
Italy,Rome,Museo Nazionale Romano - Crypta Balbi,W125241600,"museums,cultural,interesting_places,other_museums","La Crypta Balbi è un complesso collegato all'antico teatro di Balbo a Roma. Oggi è una delle sedi del Museo Nazionale Romano.Nel 2013 il circuito museale del Museo nazionale romano è stato il ventunesimo sito statale italiano più visitato, con 247.795 visitatori e un introito lordo totale di 909.016,50 Euro.",https://upload.wikimedia.org/wikipedia/commons/7/72/Pigna-s_Angelo_-_via_delle_Botteghe_oscure_-_crypta_Balbi_00738.JPG,museums,41.894592,12.47846
Italy,Rome,chiesa di Santa Maria in Macello Martyrum,Q3674130,"religion,churches,interesting_places,other_churches",La chiesa di Santa Maria degli Angeli in Macello Martyrum è un antico edificio sacro di Roma.,https://upload.wikimedia.org/wikipedia/commons/a/ab/SMariaAngeliMacelli.jpg,religion,41.893559,12.486873
Italy,Rome,Old Rome,Q523026,"historic,historical_places,interesting_places,historic_districts","The historic district of Rome was declared World Heritage Site by the United Nations Educational, Scientific and Cultural Organization in 1980. It covers 19,91 km² and is included in 22 rioni with 186.802 inhabitants. There are 25.000 importants archaeological sites and locations.The 22 rioni are Monti, Trevi, Colonna, Campo Marzio, Ponte, Parione, Regola, Sant'Eustachio, Pigna, Campitelli, Sant'Angelo, Ripa, Trastevere, Borgo, Esquilino, Ludovisi, Sallustiano, Castro Pretorio, Celio, Testaccio, San Saba and Prati.",https://upload.wikimedia.org/wikipedia/commons/3/33/Roma_rioni_mappa.png,historic,41.898998,12.47
Italy,Rome,Museum of Roman Civilization,N401949920,"museums,cultural,interesting_places,other_museums","The Museum of the Roman Civilization (Italian: Museo della Civiltà Romana) is a museum in Rome (Esposizione Universale Roma district), devoted to aspects of the Ancient Roman civilization.",https://upload.wikimedia.org/wikipedia/commons/e/eb/Lentr%C3%A9e_du_mus%C3%A9e_de_la_civilisation_romaine_%28EUR%2C_Rome%29_%285904092579%29.jpg,museums,41.832058,12.478044
Japan,Tokyo,Meiji Memorial Picture Gallery,W94104811,"museums,cultural,interesting_places,art_galleries","Meiji Memorial Picture Gallery (聖徳記念絵画館, Seitoku Kinen Kaigakan) opened in Tokyo, Japan, in 1926. The Gallery has been designated an Important Cultural Property. Inside are eighty paintings depicting events from the life of Emperor Meiji, by forty leading nihonga and forty leading yōga artists.",https://upload.wikimedia.org/wikipedia/commons/5/5f/Meiji_Memorial_Picture_Gallery_2014.JPG,museums,35.67878,139.717621
Japan,Tokyo,Yasuda Auditorium,W134668789,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","安田講堂（やすだこうどう）は、東京大学本郷キャンパスにある講堂である。正式には東京大学大講堂（とうきょうだいがくだいこうどう）というが、東大の学内では「安田講堂」が用いられる。収容人数は、1,144席（3階席・728席 / 4階席・416席）。",https://upload.wikimedia.org/wikipedia/commons/d/de/Yasuda_Auditorium.jpg,historic_architecture,35.713417,139.762283
Japan,Tokyo,Koyama Himon,W709868214,"bridges,architecture,interesting_places,other_bridges",小山樋門（こやまひもん）は、千葉県松戸市にある3連アーチ構造の煉瓦造水門である。1898年（明治31年）に坂川の逆流防止のため建設されたが、現在ではその役目を終えて坂川を渡る千葉県道5号松戸野田線の道路橋として利用されており、「レンガ橋」や「めがね橋」と呼ばれている。千葉県内に現存する煉瓦造りの水門でもっとも古いものである。,https://upload.wikimedia.org/wikipedia/commons/6/69/Koyama_Himon_FK_08.jpg,bridges,35.780396,139.897507
Russia,Moscow,Arbatskaya Square,Q2424832,"cultural,urban_environment,interesting_places,squares","Arbatskaya Square or Arbat Square (Russian: Арба́тская пло́щадь) is one of the oldest squares of Moscow, located on the junction of Gogolevsky Boulevard, Znamenka Street and Arbat Gates Square (in 1925–1993 – part of Arbatskaya Square).The square is home to the Arbatskaya metro station, on Filyovskaya Line.",https://upload.wikimedia.org/wikipedia/commons/c/c1/Arbatskaya_pl.jpg,cultural,55.751945,37.601112
Russia,Moscow,Main building of the Pushkin Museum,Q59155915,"museums,cultural,interesting_places,other_museums",Гла́вное зда́ние Пу́шкинского музе́я (Здание Музея изящных искусств) — построено в 1898—1912 годах по проекту архитектора Романа Клейна в неоклассическом стиле. Внутренние залы украшались под руководством художника Игнатия Нивинского.,https://upload.wikimedia.org/wikipedia/commons/5/5b/Moscow_05-2012_Volkhonka_03.jpg,museums,55.747154,37.60556
Russia,Moscow,Monument to Leo Tolstoy on Prechistenka,Q53498088,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Monument to Leo Tolstoy on Prechistenka (Russian: Памятник Льву Толстому на Пречистенке) was installed in Moscow in the courtyard of the State Museum of Leo Tolstoy (11, Prechistenka Street). Granite sculpture was made in 1913 by sculptor S. D. Merkurov. At the present place has been since 1972.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Lev_Tolstoy_by_Merkurov_%28Prechistenka%29_by_shakko_01.jpg,historic_architecture,55.742664,37.596901
Russia,Moscow,Spasskiye Gate,N2203001685,"towers,architecture,fortifications,defensive_walls,historic,interesting_places,clock_towers,fortified_towers","The Spasskaya Tower (Russian: Спасская башня, tr. Spasskaya Bashnya), translated as 'Saviour Tower', is the main tower on the eastern wall of the Moscow Kremlin which overlooks the Red Square.",https://upload.wikimedia.org/wikipedia/commons/9/9e/Spaskaja_Ba%C5%A1%C5%88a_%28%D1%81%D0%BF%D0%B0%D1%81%D1%81%D0%BA%D0%B0%D1%8F_%D0%B1%D0%B0%D1%88%D0%BD%D1%8F%29_The_Saviour_tower_%286078983317%29.jpg,towers,55.752659,37.621613
Russia,Moscow,Vysoko-Petrovskiy monastyr',W52613460,"religion,cathedrals,interesting_places","Собор святителя Петра, митрополита Московского — главная церковь Высоко-Петровского монастыря в Москве. Первый в русском зодчестве пример центрического многолепесткового храма (в плане — не квадрат и не прямоугольник, а наложение нескольких полукружий).",https://upload.wikimedia.org/wikipedia/commons/d/dd/Vysokopetrovsky_Monastery_4.JPG,religion,55.767178,37.615227
United Kingdom,London,Tower Bridge,W378541210,"bridges,architecture,interesting_places,moveable_bridges","Tower Bridge is a combined bascule and suspension bridge in London built between 1886 and 1894. The bridge crosses the River Thames close to the Tower of London and has become an iconic symbol of London. Because of this, Tower Bridge is sometimes confused with London Bridge, situated some 0.5 mi (0.80 km) upstream. Tower Bridge is one of five London bridges now owned and maintained by the Bridge House Estates, a charitable trust overseen by the City of London Corporation. It is the only one of the Trust's bridges not to connect the City of London directly to the Southwark bank, as its northern landfall is in Tower Hamlets.",https://upload.wikimedia.org/wikipedia/commons/8/8b/Tower_bridge_London_Twilight_-_November_2006.jpg,bridges,51.505497,-0.075361
United Kingdom,London,Saint Nicholas Cole Abbey,W111354104,"religion,churches,interesting_places,other_churches","St. Nicholas Cole Abbey is a church in the City of London located on what is now Queen Victoria Street. Recorded from the twelfth century, the church was destroyed in the Great Fire of London in 1666 and rebuilt by the office of Sir Christopher Wren. The church suffered substantial bomb damage from German bombs during the London Blitz in the Second World War and was reconstructed by Arthur Bailey in 1961–2.",https://upload.wikimedia.org/wikipedia/commons/5/56/St._Nicholas_Cole_Abbey.JPG,religion,51.512093,-0.09685
United Kingdom,London,Boundary Estate,Q4949934,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Boundary Estate is a housing development in Shoreditch, formally opened in 1900, in the East End of London, England. It is situated in the London Borough of Tower Hamlets and on the boundary with Bethnal Green.",https://upload.wikimedia.org/wikipedia/commons/9/9d/Hurley_House%2C_Bethnal_Green%2C_E2_-_geograph.org.uk_-_141920.jpg,historic_architecture,51.525902,-0.0748
United Kingdom,London,Marx Memorial Library,Q93844,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Marx Memorial Library in London holds more than 43,000 books, pamphlets and newspapers on Marxism, Scientific Socialism and working class history. It is a Grade II listed building.The Library also features the fresco The worker of the future upsetting the economic chaos of the present, painted by Jack Hastings in 1935 with the assistance of the American artist, Clifford Wight.",https://upload.wikimedia.org/wikipedia/commons/e/eb/Marx_Memorial_Library_37a_Clerkenwell_Green.jpg,historic_architecture,51.5229,-0.1057
United States,Washington,Saint Paul African Union Methodist Church,Q7402030,"religion,churches,interesting_places,other_churches","Saint Paul African Union Methodist Church is an historic structure located in the Navy Yard section of Washington, D.C., United States. It is the only congregation in the District of Columbia of the oldest incorporated, independent African- American denomination in the country. It was listed on the National Register of Historic Places in 2011.",https://upload.wikimedia.org/wikipedia/commons/3/3a/St._Paul%27s_AUM_Churh_DC_2.jpg,religion,38.879166,-77.000557
United States,Washington,Christopher Columbus Memorial Fountain,W303711579,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,monuments","Columbus Fountain also known as the Columbus Memorial is a public artwork by American sculptor Lorado Taft, located at Union Station in Washington, D.C., United States. A centerpiece of Columbus Circle, Columbus Fountain serves as a tribute to the explorer Christopher Columbus. The unveiling in 1912 was celebrated all over Washington, DC over the course of three days will parades, concerts and fireworks gathering tens of thousands of people from all over the world.",https://upload.wikimedia.org/wikipedia/commons/d/de/Columbus_Fountain_by_Lorado_Zadoc_Taft_-_Washington%2C_D.C._-_Stierch_-_E.jpg,fountains,38.896412,-77.006577
United States,Washington,Old North,Q55443496,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Old North Building, or simply Old North, is the oldest extant academic building on the campus of Georgetown University in Washington, D.C. and was the second major building built on the campus. To the east, the building is joined to Healy Hall and to the west, it is joined to New North, while the southern façade of the building encloses Dahlgren Quadrangle. Built in the Georgian style, Old North was one of the grandest buildings in Washington at the time of its completion in 1795. It served as the flagship of the university until the construction of Healy Hall. Old North currently houses the McCourt School of Public Policy.",https://upload.wikimedia.org/wikipedia/commons/7/74/Old_North_Hall.jpg,historic_architecture,38.907555,-77.07325
United States,Washington,Alban Towers,Q4709019,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","Alban Towers is an apartment building on Massachusetts Avenue in Northwest Washington, D.C. It is listed in the National Register of Historic Places, and is considered to be one of the best examples of Gothic Revival architecture in Washington.",https://upload.wikimedia.org/wikipedia/commons/2/20/Alban_Towers_Apartment_Building.jpg,historic_architecture,38.928612,-77.073891
Austria,Vienna,Secession,W25371168,"museums,cultural,interesting_places,art_galleries","The Secession Building (German: Wiener Secessionsgebäude) is an exhibition hall built in 1897 by Joseph Maria Olbrich as an architectural manifesto for the Vienna Secession, located in Vienna, Austria. Secession refers to the seceding of a group of rebel artists from the long-established fine art institution.",https://upload.wikimedia.org/wikipedia/commons/c/cf/Wien_-_Secessionsgeb%C3%A4ude.JPG,museums,48.200504,16.365774
Austria,Vienna,TU Wien Mensa Freihaus,N249711655,"historic_architecture,architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures","TU Wien (German: Technische Universität Wien; formerly: k.k. Polytechnisches Institut, Imperial and Royal Polytechnic Institute from 1815–1872; Technische Hochschule (TH Wien), College of Technology from 1872–1975; Vienna University of Technology from 1975–2014) is one of the major universities in Vienna, the capital of Austria.",https://upload.wikimedia.org/wikipedia/commons/5/57/Technische_Universit%C3%A4t_Wien_mainbuilding_mainentrance_northview.jpg,historic_architecture,48.198936,16.367483
Austria,Vienna,Tilgner-Brunnen,N524581347,"fountains,urban_environment,cultural,interesting_places",Der Tilgner-Brunnen (auch: Froschbrunnen) ist ein Brunnen im Resselpark am Karlsplatz im 4. Wiener Gemeindebezirk Wieden.,https://upload.wikimedia.org/wikipedia/commons/1/1a/Tilgner_Brunnen%2C_Vienna.jpg,fountains,48.199745,16.369219
Austria,Vienna,Theater an der Wien,R1581063,"cultural,theatres_and_entertainments,interesting_places,other_theatres","The Theater an der Wien is a historic theatre in Vienna located on the Left Wienzeile in the Mariahilf district. Completed in 1801, the theatre has hosted the premieres of many celebrated works of theatre, opera, and symphonic music. Since 2006, it has served primarily as an opera house, hosting its own company.Although ""Wien"" is German for ""Vienna"", the ""Wien"" in the name of the theatre is actually the name of the Wien River, which once flowed by the theatre site; ""an der Wien"" means ""on the banks of the Wien"". In modern times, the river has been covered over in this location and the covered riverbed now houses the Naschmarkt, an open-air market.",https://upload.wikimedia.org/wikipedia/commons/7/75/Wien_Theater_an_der_Wien_Papagenotor.jpg,cultural,48.199806,16.363821
Austria,Vienna,Schutzengelbrunnen,W309431475,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,monuments",Der Schutzengelbrunnen ist ein Brunnen auf dem Rilkeplatz im 4. Wiener Gemeindebezirk Wieden.,https://upload.wikimedia.org/wikipedia/commons/1/1e/Schutzengelbrunnen_Rilkeplatz_DSC_0437w.jpg,fountains,48.197792,16.367367
Austria,Vienna,Naschmarkt,Q417645,"cultural,urban_environment,interesting_places,squares","The Naschmarkt is Vienna's most popular market. Located at the Wienzeile over the Wien River, it is about 1.5 kilometres (0.93 mi) long.",https://upload.wikimedia.org/wikipedia/commons/d/dc/Wien_-_Naschmarkt.JPG,cultural,48.198898,16.3636
Austria,Vienna,TU Wien,N3664526435,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","TU Wien (German: Technische Universität Wien; formerly: k.k. Polytechnisches Institut, Imperial and Royal Polytechnic Institute from 1815–1872; Technische Hochschule (TH Wien), College of Technology from 1872–1975; Vienna University of Technology from 1975–2014) is one of the major universities in Vienna, the capital of Austria.",https://upload.wikimedia.org/wikipedia/commons/5/57/Technische_Universit%C3%A4t_Wien_mainbuilding_mainentrance_northview.jpg,historic_architecture,48.198925,16.369879
Austria,Vienna,Vienna Künstlerhaus,N637647137,"museums,cultural,cinemas,theatres_and_entertainments,interesting_places,art_galleries","The Vienna Künstlerhaus (German: Künstlerhaus Wien) is an art exhibition building in Vienna. It is located on Karlsplatz near the Ringstraße, next to the Musikverein.It was built between 1865 and 1868 by the Austrian Artists' Society (Gesellschaft bildender Künstler Österreichs, Künstlerhaus), the oldest surviving artists' society in Austria. It has served since then as an exhibition centre for painting, sculpture, architecture and applied art. Since 1947 it has also managed a cinema, which is used as one of the screening venues for the annual Viennale film festival.",https://upload.wikimedia.org/wikipedia/commons/3/3c/WienKuenstlerhaus.jpg,museums,48.200985,16.371334
Austria,Vienna,Tiertränkebrunnen,Q2432559,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Der Tiertränkebrunnen ist ein denkmalgeschützter (Listeneintrag) Brunnen in der Gumpendorfer Straße nahe der Rahlstiege mit dem Gänsemädchenbrunnen im 6. Wiener Gemeindebezirk Mariahilf.Der von Adolf Stöckl gemeinsam mit dem Bildhauer Josef Thorak geschaffene Tiertränkebrunnen wurde von der Opernsängerin Hedwig Francillo-Kauffmann gemeinsam mit anderen Tierfreunden gestiftet und am 22. Juli 1916 enthüllt. Der ursprüngliche Aufstellungsort befand sich bei der Wiener Secession. 1968 wurde er an seinen gegenwärtigen Standort auf dem sogenannten Papiermacherplatzl übersiedelt.,https://upload.wikimedia.org/wikipedia/commons/5/5c/GuentherZ_2008-07-14_0234_Wien06_Tiertraenkebrunnen.jpg,historic_architecture,48.200901,16.3619
Austria,Vienna,"Persönlichkeitsdenkmal, Johannes Brahms Denkmal",Q37881044,"historic,monuments_and_memorials,interesting_places,monuments",Das Brahms-Denkmal im Resselpark am Karlsplatz in der österreichischen Bundeshauptstadt Wien ist ein Werk des Bildhauers Rudolf Weyr und dem Komponisten Johannes Brahms gewidmet.,https://upload.wikimedia.org/wikipedia/commons/1/1d/Wien_-_Johannes-Brahms-Denkmal%2C_Karlsplatz.JPG,historic,48.199631,16.37178
Austria,Vienna,Palais Schey von Koromla,Q2047166,"palaces,architecture,historic_architecture,interesting_places","Palais Schey von Koromla, also known as Palais Schey (or erroneously as Palais Schey-Koromla), is a Ringstraßenpalais building in Vienna, Austria.It was built in 1863/4 for banker Friedrich Schey von Koromla. It was part of the redevelopment initiated by Emperor Franz Joseph I which created the Ringstrasse on the land previously occupied by the obsolete Vienna city walls.The interior survived Nazi rule and World War II.The building was the setting for the television series Ringstraßenpalais.",https://upload.wikimedia.org/wikipedia/commons/9/92/Palais_Schey_v_Koromla-Goetheg_3.JPG,palaces,48.203499,16.3666
Austria,Vienna,Vienna Künstlerhaus,W25577419,"museums,cultural,interesting_places,art_galleries","The Vienna Künstlerhaus (German: Künstlerhaus Wien) is an art exhibition building in Vienna. It is located on Karlsplatz near the Ringstraße, next to the Musikverein.It was built between 1865 and 1868 by the Austrian Artists' Society (Gesellschaft bildender Künstler Österreichs, Künstlerhaus), the oldest surviving artists' society in Austria. It has served since then as an exhibition centre for painting, sculpture, architecture and applied art. Since 1947 it has also managed a cinema, which is used as one of the screening venues for the annual Viennale film festival.",https://upload.wikimedia.org/wikipedia/commons/3/3c/WienKuenstlerhaus.jpg,museums,48.200733,16.371815
