country,capital,name,xid,kinds,lat,lon,wikipedia_extracts,image
Austria,Vienna,"Persönlichkeitsdenkmal, Johannes Brahms Denkmal",Q37881044,"historic,monuments_and_memorials,interesting_places,monuments",16.37178,48.199631,Das Brahms-Denkmal im Resselpark am Karlsplatz in der österreichischen Bundeshauptstadt Wien ist ein Werk des Bildhauers Rudolf Weyr und dem Komponisten Johannes Brahms gewidmet.,https://commons.wikimedia.org/wiki/File:Wien_-_Johannes-Brahms-Denkmal%2C_Karlsplatz.JPG
Austria,Vienna,Дворец Шей фон Коромла,Q2047166,"palaces,architecture,historic_architecture,interesting_places",16.3666,48.203499,"Palais Schey von Koromla, also known as Palais Schey (or erroneously as Palais Schey-Koromla), is a Ringstraßenpalais building in Vienna, Austria.It was built in 1863/4 for banker Friedrich Schey von Koromla. It was part of the redevelopment initiated by Emperor Franz Joseph I which created the Ringstrasse on the land previously occupied by the obsolete Vienna city walls.The interior survived Nazi rule and World War II.The building was the setting for the television series Ringstraßenpalais.",https://commons.wikimedia.org/wiki/File:Palais_Schey_v_Koromla-Goetheg_3.JPG
Austria,Vienna,Дом Художника,W25577419,"museums,cultural,interesting_places,art_galleries",16.371815,48.200733,"Дом художников в Вене (нем. Künstlerhaus Wien) — выставочный комплекс в центре города Вены, с главным входом с площади Карлсплац. Владельцем является «Австрийское общество художников» (нем. Gesellschaft bildender Künstler Österreichs, Künstlerhaus), которое является старейшей существующей художественной организацией в Австрии.",https://commons.wikimedia.org/wiki/File:WienKuenstlerhaus.jpg
Austria,Vienna,Gymnasium Rahlgasse,Q37881224,"other,unclassified_objects,interesting_places,historic_object",16.361822,48.201595,Das GRG 6 Rahlgasse ist ein Bundesgymnasium und Bundesrealgymnasium in Mariahilf in Wien. Das Schulgebäude steht unter Denkmalschutz (Listeneintrag).,https://commons.wikimedia.org/wiki/File:Haus-Rahlgasse_4-01.jpg
Austria,Vienna,Дворец Гомперцев,Q944903,"palaces,architecture,historic_architecture,interesting_places",16.3706,48.202499,"Palais Gomperz is a Ringstraßenpalais in Vienna, Austria. It was built for the aristocratic Gomperz family.",https://commons.wikimedia.org/wiki/File:Palais_Gomperz_Sep_2006_005.jpg
Austria,Vienna,Am Burggarten,N3489171239,"historic_architecture,architecture,gardens_and_parks,urban_environment,cultural,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",16.363749,48.203091,Der Burggarten ist eine öffentliche Parkanlage an der Wiener Ringstraße.,https://commons.wikimedia.org/wiki/File:Wien_Burggarten_HDR.jpg
Austria,Vienna,Венская государственная опера,W8097595,"cultural,theatres_and_entertainments,interesting_places,opera_houses",16.369202,48.203239,"Венская государственная опера (нем. Wiener Staatsoper, до 1918 года Венская придворная опера) — крупнейший оперный театр в Австрии, один из центров музыкальной культуры Европы.",https://commons.wikimedia.org/wiki/File:Wien_-_Staatsoper_%282%29.JPG
Austria,Vienna,Венская филармония,W25577405,"theatres_and_entertainments,concert_halls,cultural,interesting_places",16.372765,48.200569,"Венская филармония (нем. Wiener Musikverein) — концертный зал, расположенный на площади Карлсплац в Вене. Вместе с залами Бостонской и Амстердамской филармоний, зал Венской филармонии считается одним из трёх лучших залов в мире. В этом здании базируется и выступает Венский филармонический оркестра (Wiener Philharmoniker).",https://commons.wikimedia.org/wiki/File:Musikverein_Vienna_June_2006_480.jpg
Austria,Vienna,Gänsemädchenbrunnen,N365870563,"fountains,urban_environment,cultural,interesting_places",16.360935,48.201855,Der Gänsemädchenbrunnen ist ein denkmalgeschützter (Listeneintrag) Brunnen auf der Rahlstiege im 6. Wiener Gemeindebezirk Mariahilf.,https://commons.wikimedia.org/wiki/File:G%C3%A4nsem%C3%A4dchenbrunnen_Rahlstiege_3.JPG
Austria,Vienna,"Mozart Monument, Vienna",Q18346455,"historic,monuments_and_memorials,interesting_places,monuments",16.364799,48.204102,"The Mozart Monument (German: Mozart-Denkmal) is a monument located in the Burggarten in the Innere Stadt district of Vienna, Austria since 1953. It is dedicated to composer Wolfgang Amadeus Mozart (1756–1791).This 7.5-meter-high statue was made by architect Karl König (1841–1915) and sculptor Viktor Tilgner (1844–1896) and was unveiled at Albrechtsplatz (today Albertinaplatz) on April 21, 1896, five days before Tilgner died. Tilgner's signature was completed with his death date.",https://commons.wikimedia.org/wiki/File:Wien_-_Mozartdenkmal_%281%29.JPG
Austria,Vienna,Венский технический университет,R33319,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.369688,48.196198,"Венский технический университет (нем. Technische Universität Wien, сокр. TU Wien) — один из крупных университетов в Вене, основанный в 1815 году под названием «Императорско-королевский политехнический институт». В настоящее время в университете 8 факультетов с 56 институтами, включающие 21 отделение бакалавриата, 43 отделения магистратуры и 3 отделения докторантуры. В университете обучаются 17 600 студентов (19 % иностранцев; 30 % женщин). Штат составляет 4 тыс. сотрудников, из них 1800 — преподавательский состав. Учебная программа и исследовательская деятельность университета сосредоточена на технических и естественных науках.",https://commons.wikimedia.org/wiki/File:Technische_Universit%C3%A4t_Wien_mainbuilding_mainentrance_northview_.jpg
Austria,Vienna,Palais Ehrbar,Q1241047,"palaces,architecture,historic_architecture,interesting_places",16.362499,48.196701,"Das Palais Ehrbar befindet sich im 4. Wiener Gemeindebezirk Wieden, Mühlgasse 28.",https://commons.wikimedia.org/wiki/File:Palais_Ehrbar-M%C3%BChlgasse_30a.JPG
Austria,Vienna,Rahlstiege,Q2127408,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.3608,48.2019,Die Rahlstiege ist eine Stiegenanlage im 6. Wiener Gemeindebezirk Mariahilf. Sie verbindet die Rahlgasse mit der Mariahilfer Straße.,https://commons.wikimedia.org/wiki/File:Rahlstiege_Totale_4-07.jpg
Austria,Vienna,Wien Museum Karlsplatz,W8097153,"museums,cultural,interesting_places,art_galleries",16.373058,48.19912,"The Vienna Museum (German: Wien Museum or Museen der Stadt Wien) is a group of museums in Vienna consisting of the museums of the history of the city. In addition to the main building in Karlsplatz and the Hermesvilla, the group includes numerous specialised museums, musicians' residences and archaeological excavations.The permanent exhibit of art and the historical collection on the history of Vienna include exhibits dating from the Neolithic to the mid-20th century. The emphasis is on the 19th century, for example works by Gustav Klimt. In addition, the Vienna Museum hosts a variety of special exhibitions.",https://commons.wikimedia.org/wiki/File:Wien-Museum.jpg
Austria,Vienna,Albrechtsbrunnen,W566224845,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,monuments",16.368586,48.20422,"Der Albrechtsbrunnen, auch bekannt als Danubiusbrunnen, ist ein Brunnen im 1. Wiener Gemeindebezirk, der Inneren Stadt. Er befindet sich an der Augustinerbastei und trägt seinen Namen nach Feldmarschall Erzherzog Albrecht von Österreich-Teschen, der das Gebäude der heutigen Albertina auf der Bastei, das Palais Erzherzog Albrecht, damals bewohnte.",https://commons.wikimedia.org/wiki/File:GuentherZ_2008-08-30_1100_Albrechtsbrunnen_Danubius%2BVindobona_Detail.jpg
Austria,Vienna,Замковый сад,W8063831,"gardens_and_parks,urban_environment,cultural,interesting_places",16.365952,48.204384,Der Burggarten ist eine öffentliche Parkanlage an der Wiener Ringstraße.,https://commons.wikimedia.org/wiki/File:Wien_Burggarten_HDR.jpg
Austria,Vienna,"Kärntner Straße 49, Vienna",Q37937924,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.37044,48.203739,"Das Café Fenstergucker war ein Kaffeehaus in Wien und befand sich im 1. Bezirk Innere Stadt, Ecke Kärntner Straße/Walfischgasse.",https://commons.wikimedia.org/wiki/File:Wien_Zentrum_2009_PD_20091008_003.JPG
Austria,Vienna,Дворец эрцгерцога Карла Людвига,Q2046962,"palaces,architecture,historic_architecture,interesting_places",16.369499,48.195499,Das Palais Erzherzog Carl Ludwig befindet sich im 4. Wiener Gemeindebezirk Wieden an der Favoritenstraße 7.,https://commons.wikimedia.org/wiki/File:Palais_Erzh_Karl_Ludwig_Favoritenstr_7.JPG
Austria,Vienna,Fillgraderstiege,Q390534,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.359301,48.2001,"The Fillgraderstiege is a staircase in the sixth district of Vienna, Mariahilf. It was built from 1905 to 1907 and designed by Max Hegele, a student of Victor Luntz and Carl Hasenauer, in an Art Nouveau style to connect the two streets, Fillgradergasse and Theobaldgasse.The stairs were blocked off in 1981, having been worn down for almost 80 years, and were then repaired between 1982 and 1984, in the process of which a café and art gallery were added in a previously unused inner room behind the stairs, both of which opened on the 1 August 1985.The Fillgraderstiege staircase was named the fourth most beautiful steps in Europe in a 2004 poll of European art professors .",https://commons.wikimedia.org/wiki/File:Wien_Fillgraderstiege_Frontal.jpg
Austria,Vienna,Mozart-Brunnen,N270507196,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,monuments",16.368233,48.195187,"Der Mozart-Brunnen, auch Zauberflötenbrunnen genannt, ist ein Brunnen auf dem Mozartplatz im 4. Wiener Gemeindebezirk Wieden.Der Brunnen wurde 1905 während der Amtszeit von Bürgermeister Karl Lueger errichtet. Der bereits im Jahr 1900 preisgekrönte Entwurf stammt vom Architekten Otto Schönthal, der ausführende Bildhauer war Carl Wollek. Der Brunnen soll an die Uraufführung von Wolfgang Amadeus Mozarts Oper Die Zauberflöte erinnern, die 1791 im Freihaustheater auf der Wieden stattfand. Die Bronzegruppe zeigt Tamino und Pamina, die Hauptfiguren der Zauberflöte.",https://commons.wikimedia.org/wiki/File:Mozart-Brunnen_Wieden.jpg
Austria,Vienna,Художественно-исторический музей,R20165,"museums,cultural,interesting_places,art_galleries",16.361782,48.203739,"Музей истории искусств (Художественно-исторический музей, нем. Kunsthistorisches Museum, сокращенно KHM) — известный художественный музей в Вене. Он был открыт в 1891 году напротив идентичного по внешнему облику Музея естествознания на площади Марии Терезии во Внутреннем Городе. Приказ о строительстве был отдан императором Францем Иосифом I в рамках расширения города в 1858 году. Оба музея построены в стиле итальянского Ренессанса по проекту Готфрида Земпера и барона Карла фон Хазенауера.",https://commons.wikimedia.org/wiki/File:Wien_Kunsthistorisches_Museum.jpg
Austria,Vienna,Дворец Вертгейма,Q2047211,"palaces,architecture,historic_architecture,interesting_places",16.374001,48.201199,"Дворец Вертгейма (Вертгеймский дворец, нем. Palais Wertheim, Wertheimpalais) — пятиэтажное здание в Вене на пересечении улицы Рингштрассе с площадью Шварценбергплац во Внутреннем Городе. Является панданом ко дворцу эрцгерцога Людвига Виктора, расположенному напротив. Оба дворца задумывались как архитектурное обрамление конного памятника фельдмаршалу князю Шварценбергу, согласуются по внешнему облику и входят в число так называемых дворцов на Рингштрассе.",https://commons.wikimedia.org/wiki/File:Schwarzenbergplatz_17_Ansicht_2.jpg
Austria,Vienna,Palais Esterházy (Kärntner Straße),Q632734,"palaces,architecture,historic_architecture,interesting_places",16.370399,48.204399,Das Palais Esterházy an der Kärntner Straße ist ein Palais im 1. Wiener Gemeindebezirk Innere Stadt. Es ist das älteste Gebäude an der Kärntner Straße und befindet sich noch heute im Besitz der Familie Esterházy.,https://commons.wikimedia.org/wiki/File:Casino080316.jpg
Austria,Vienna,Пальмовая оранжерея,N76518712,"historic_architecture,architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",16.366796,48.205055,"Пальмовая оранжерея (Пальменхаус, нем. Palmenhaus — букв. «Пальмовый дом») — историческое здание во Внутреннем Городе в Вене. Расположено у Бурггартена в непосредственной близости от Альбертины и Венской оперы. Длина здания составляет 128 м, площадь — 2 050 кв. м.",https://commons.wikimedia.org/wiki/File:AT-13768_Palmenhaus_Burggarten_05.JPG
Austria,Vienna,Palais Ofenheim,Q2047129,"palaces,architecture,historic_architecture,interesting_places",16.374399,48.200401,"Das Palais Ofenheim ist ein Palais im Ringstraßenstil und befindet sich am Schwarzenbergplatz 15 im 1. Wiener Gemeindebezirk.Das Palais wurde 1868 nach Entwürfen der Architekten August Schwendenwein und Johann Romano für den Eisenbahnindustriellen Victor Ofenheim, Ritter von Ponteuxin errichtet und befindet sich heute im Besitz der Zürich Versicherung Österreich, die es als Bürohaus nutzt.",https://commons.wikimedia.org/wiki/File:Lothringerstra%C3%9Fe_5.jpg
Austria,Vienna,Этнологический музей,R7771899,"museums,cultural,interesting_places,art_galleries",16.363886,48.204903,"Всемирный музей (нем. Weltmuseum Wien), бывший Этнологический музей (нем. Museum für Völkerkunde) — крупнейший антропологический и этнографический музей Австрии. Основан в 1876 году. В настоящее время занимает часть бывшего императорского дворца Хофбург. Содержит около 250 тыс. экспонатов из Азии, Африки, Океании и Америки. Среди важных коллекций внимания заслуживают мексиканские артефакты, в том числе уникальные ацтекские изделия из перьев (напр., головной убор Монтесумы); часть коллекции Джеймса Кука (приобретена в 1806 году); многочисленные бронзовые изделия из Бенина; коллекция К. фон Хюгеля, собранная в путешествиях по Индии, Юго-Восточной Азии и Китаю, и многое другое.",https://commons.wikimedia.org/wiki/File:Wien_Hofburg_Neue_Burg_Heldenplatz.jpg
Austria,Vienna,Музей истории искусств,R4523037,"museums,cultural,interesting_places,art_galleries,military_museums",16.363752,48.204895,"Музей истории искусств (Художественно-исторический музей, нем. Kunsthistorisches Museum, сокращенно KHM) — известный художественный музей в Вене. Он был открыт в 1891 году напротив идентичного по внешнему облику Музея естествознания на площади Марии Терезии во Внутреннем Городе. Приказ о строительстве был отдан императором Францем Иосифом I в рамках расширения города в 1858 году. Оба музея построены в стиле итальянского Ренессанса по проекту Готфрида Земпера и барона Карла фон Хазенауера.",https://commons.wikimedia.org/wiki/File:Wien_Kunsthistorisches_Museum.jpg
Austria,Vienna,Linke Wienzeile 38,Q19951117,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.359566,48.197472,"La Maison aux médaillons ou Maison des Muses (Musenhaus),,,,,,, est un immeuble à appartements de style Art nouveau caractéristique de la Sécession viennoise (Sezessionsstil ou Wiener Secession) édifié par l'architecte Otto Wagner à Vienne en Autriche.Tirant son nom des médaillons de muses qui ornent sa façade, elle forme avec sa voisine, la Maison des majoliques (Majolikahaus), un vaste ensemble de style Sécession.",https://commons.wikimedia.org/wiki/File:Wienzeilenh%C3%A4user_Otto_Wagner.jpg
Austria,Vienna,Neue Burg,R3898177,"historic_architecture,architecture,fortifications,historic,monuments_and_memorials,museums,cultural,interesting_places,manor_houses,castles,other_museums,monuments",16.365131,48.205376,"Die Neue Burg ist Teil der Wiener Hofburg und des monumentalen Kaiserforums, das Gottfried Semper und Karl Freiherr von Hasenauer ab 1869 für Kaiser Franz Joseph planten und errichteten.",https://commons.wikimedia.org/wiki/File:Wien_Hofburg_Neue_Burg_Heldenplatz.jpg
Austria,Vienna,площадь Марии Терезии,R1363382,"interesting_places,squares,urban_environment,cultural",16.361977,48.20451,"Площадь Марии Терезии (Мария-Тере́зиен-плац; нем. Maria-Theresien-Platz) — площадь в центре Вены, во Внутреннем Городе на Рингштрассе, напротив площади Хельденплац и Хофбурга. На площади друг напротив друга расположены два самых крупных музейных здания города — Музей истории искусств und Музей естествознания. Площадь замыкает параллельный Рингштрассе проспект Цвайер-линия, «Линия второго», где когда-то курсировал венский трамвай № 2. С другой стороны Цвайер-линии располагается Музейный квартал. В центре площади Марии Терезии установлен памятник императрице, самый крупный из установленных Габсбургам в Вене. Площадь Марии Терезии входит в наиболее популярные туристические маршруты по австрийской столице и является пешеходной.",https://commons.wikimedia.org/wiki/File:Maria-Theresien-Platz_Kunsthistorisches_Museum_Wien_2010.jpg
Austria,Vienna,Heumühle,Q1616493,"industrial_facilities,mills,interesting_places",16.361408,48.195732,"Die Heumühle im 4. Bezirk in Wien ist eine ehemalige Wassermühle, die in ihrer heutigen Form auf das 14. Jahrhundert zurückgeht. Das bis zum 17. Jahrhundert Steinmühle genannte Bauwerk gilt als der älteste Profanbau Wiens.",https://commons.wikimedia.org/wiki/File:Wien_Heumuehle_01_2008.JPG
Austria,Vienna,Majolikahaus,Q19951120,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.359251,48.197422,"La Maison des majoliques (Majolikahaus) est un immeuble à appartements de style Art nouveau caractéristique de la Sécession viennoise (Sezessionsstil ou Wiener Secession) édifié par l'architecte Otto Wagner à Vienne en Autriche.Tirant son nom des carreaux de faïence appelés majoliques qui ornent sa façade, elle forme avec sa voisine, la Maison aux médaillons (maison des Muses, Musenhaus ou Linke Wienzeile 38), un vaste ensemble de style Sécession.",https://commons.wikimedia.org/wiki/File:Majolikahaus_gesamt_2.jpg
Austria,Vienna,дворец эрцгерцога Людвига Виктора,N4581232687,"historic_architecture,palaces,architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres",16.374819,48.201401,"Дворец эрцгерцога Людвига Виктора (нем. Palais Erzherzog Ludwig Viktor) — дворец в Вене на площади Шварценбергплац во Внутреннем Городе, входит в число так называемых дворцов на Рингштрассе. Построен в 1863—1866 годах архитектором Генрихом фон Ферстелем. Напротив дворца эрцгерцога на площади находится дворец-пандан Вертгейма, также построенный Ферстелем.",https://commons.wikimedia.org/wiki/File:Wien_Palais_Erzherzog_Ludwig_Viktor.jpg
Austria,Vienna,Laimgrubenkirche,R2192671,"religion,churches,interesting_places,catholic_churches",16.358244,48.200157,"Die Laimgrubenkirche (eigentlich: Kirche St. Josef ob der Laimgrube, auch: Pfarrkirche Mariahilf-St. Josef) ist eine katholische Kirche im 6. Wiener Gemeindebezirk Mariahilf an der Adresse Windmühlgasse 3. Das gegenwärtige neubarocke Kirchengebäude aus 1906 ist eine Replik des 1907 abgerissenen Barockbaus an der Mariahilfer Straße.",https://commons.wikimedia.org/wiki/File:Laimgrubenkirche_stitch.jpg
Austria,Vienna,St. Annahof,Q2317177,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.371599,48.204601,"Der St.-Anna-Hof (auch: Annahof) ist ein Gebäude im 1. Wiener Gemeindebezirk, Innere Stadt, zwischen der Annagasse 3 und der Johannesgasse 4, unmittelbar neben der Annakirche. Der St.-Anna-Hof weist eine lange Geschichte als Gastronomie- und Veranstaltungsstätte auf.",https://commons.wikimedia.org/wiki/File:Annagasse_Nr.03a_02.jpg
Austria,Vienna,"Palais Lobkowitz, Vienna",Q999439,"palaces,architecture,historic_architecture,museums,cultural,interesting_places,other_museums",16.368099,48.205601,"Palais Lobkowitz, or Palais Dietrichstein-Lobkowitz, is a Baroque palace in Vienna, Austria. It was owned by the noble Lobkowitz family.Today it houses the theatre museum of the Kunsthistorisches Museum.",https://commons.wikimedia.org/wiki/File:Palais_Lobkowitz_Vienna_Oct._2006_006.jpg
Austria,Vienna,Tritonen- und Najadenbrunnen,W91725986,"fountains,urban_environment,cultural,interesting_places",16.360609,48.204048,Auf dem Maria-Theresien-Platz zwischen dem Naturhistorischen und dem Kunsthistorischen Museum im 1. Wiener Gemeindebezirk Innere Stadt befinden sich neben dem zentralen Maria-Theresien-Denkmal vier Tritonen- und Najadenbrunnen.,https://commons.wikimedia.org/wiki/File:GuentherZ_2009-07-06-A_0466_Tritonen-_und_Najadenbrunnen_M-T-Platz.jpg
Austria,Vienna,Tritonen- und Najadenbrunnen,W91725996,"fountains,urban_environment,cultural,interesting_places",16.361465,48.204556,Auf dem Maria-Theresien-Platz zwischen dem Naturhistorischen und dem Kunsthistorischen Museum im 1. Wiener Gemeindebezirk Innere Stadt befinden sich neben dem zentralen Maria-Theresien-Denkmal vier Tritonen- und Najadenbrunnen.,https://commons.wikimedia.org/wiki/File:GuentherZ_2009-07-06-A_0466_Tritonen-_und_Najadenbrunnen_M-T-Platz.jpg
